X,M,TE,TE_CI_low,TE_CI_high,NIE,NIE_CI_low,NIE_CI_high,NDE,NDE_CI_low,NDE_CI_high,Prop_Mediated,indirect_p,N,Bootstrap_N,indirect_p_fdr,significant_fdr
Echo,CD34,0.2069827173855171,-0.22223243585103256,0.8349271330495569,-0.025987507176787158,-0.36497951624425107,0.17617010712758982,0.2329702245623042,-0.14256385162061155,0.8069470659005329,-0.12555399554632354,1.0,433,1406,1.0,False
Echo,CD117,0.385503262273228,0.0,1.0227025764926643,0.20950120880316497,0.0,0.5855946767429255,0.17600205347006306,-0.10706904864342665,0.6383691221479599,0.5434486016221559,0.5195822454308094,433,766,1.0,False
Echo,PDGFR-α,0.2956094628428037,-0.17018997608298564,0.8113065720213538,0.0011763542288057522,-0.06577878552617977,0.07342645379879677,0.29443310861399796,-0.17227626364063098,0.8326042813757504,0.003979420068265211,1.0,433,1924,1.0,False
Echo,Dog-1,0.29625338959513536,-0.1791895542789178,0.8013854880436637,0.034826003846143344,-0.034994599454214015,0.15280186080009053,0.261427385748992,-0.22150586062156313,0.7710404303091636,0.11755478610299487,0.3969151670951157,433,1945,1.0,False
Echo,S-100,0.29858864784202066,-0.1797611827698753,0.838805544414374,0.0029089968514848397,-0.028124232589247122,0.03852206350877774,0.2956796509905358,-0.18136240899399142,0.8364651413607519,0.00974248978488945,0.9317571198280494,433,1861,1.0,False
Echo,SMA,0.2921243309523399,-0.18300543107587916,0.7932667621145824,0.021620014450258157,-0.04314701544386866,0.11109392419174147,0.27050431650208173,-0.20063757143935365,0.7760453887195303,0.07400963274704243,0.5616717635066258,433,1962,1.0,False
Echo,KI_67,0.28448693186000884,-0.21667204695414488,0.8816940995381086,-0.18657681258804484,-0.4101775585124219,0.0,0.47106374444805366,-0.09463475083128475,1.0298247577473782,-0.6558361446277473,0.08175779253960143,433,1957,0.972125,False
GrowthPattern_binary,CD34,0.14401101822830567,-0.17794333876719168,0.498992859274474,0.07559015605194193,-0.15527216590996057,0.2594575702760659,0.06842086217636371,-0.1961759772529136,0.4220453563626414,0.5248914769292599,0.4263565891472868,433,1032,1.0,False
GrowthPattern_binary,CD117,-0.030154108822710503,-0.3120974381773559,0.23854575740094877,-0.06454370046077422,-0.33983678105366827,0.12602505195857136,0.034389591638063724,-0.16753271730944577,0.28078235602541207,2.1404612167534287,0.8402777777777778,433,1440,1.0,False
GrowthPattern_binary,PDGFR-α,0.07288998645514513,-0.19545051491339263,0.348670280798307,-0.015334491970504878,-0.06016380977586908,0.019559352889383003,0.08822447842565001,-0.17489031044547196,0.35901351669037007,-0.21037858169916634,0.35425531914893615,433,1880,1.0,False
GrowthPattern_binary,Dog-1,0.08360480486716866,-0.18748721421528575,0.35751557808207385,0.014990717780868102,-0.017036054453590264,0.07218784833052258,0.06861408708630057,-0.2001693462481223,0.34118320267093183,0.17930450055693997,0.4416624937406109,433,1997,1.0,False
